sample_id	scene	spend_ms	correct_ms	wrong_ms	correct_cnt	wrong_cnt	miss_cnt	hyper_cnt	time_record_ms
cv01	login	2286				0			1557735458455
cv01	medInfo01	2000				0			1557735460649
cv01	med01	120496				0			1557735581383
cv01	medInfo02	2000				0			1557735583704
cv01	med02	136658				0			1557735720637
cv01	attInfo01	4000				0			1557735724911
cv01	att01	54629				0			1557735779825
cv01	attInfo02	3002				0			1557735783056
cv01	att02	94626				0			1557735877898
cv01	attInfo03	4001				0			1557735882107
cv01	att03	123866				0			1557736006209
cv01	cptInfo	3001				0			1557736009429
cv01	cpt01	15000				0			1557736024746
cv01	cpt02	38678				1			1557736063716
cv01	cpt03	28989	546	0	4	0	0	0	1557736093013
cv01	cpt04	17995	532	0	4	0	0	0	1557736111364
cv01	cpt05	28986	921	0	10	0	0	0	1557736140597
cv01	cpt06	22990	1024	0	10	0	0	0	1557736163906
cv01	hypInfo	2001				0			1557736166149
cv01	hyp01	83215				0			1557736249641
cv01	hyp02	94704				0			1557736344613
